,0
1772,63002
1773,4173
1774,9878109
1775,9949641
1776,6436173
1777,9832404
1778,170361
1779,132971
1780,119058029
1781,62097
1782,78427026
1783,132862
1784,56839178
1785,32874
1786,71535962
1787,121249960
1788,55466
1789,46200812
1790,9852525
1791,25102847
1792,118599727
1793,54405
1794,24771867
1795,11616111
1796,11978813
1797,456199
1798,68844
1799,193962
1800,76685198
1801,46883536
1802,25262965
1803,9865554
1804,5284566
1805,54726191
1806,171378358
1807,130476723
1808,5282199
1809,2663
1810,5210
1811,51634
1812,11237860
1813,3440
1814,20058
1815,91610
1816,10048368
1817,9939049
1818,3373
1819,3467
1820,3784
1821,51039119
1822,162641051
1823,11217901
1824,3080768
1825,46196540
1826,3011155
1827,3121
1828,118354396
1829,176167
1830,4114
1831,73652135
1832,24812808
1833,56842239
1834,772
1835,175805
1836,40692
1837,54732242
1838,27982
1839,71727383
1840,9954033
1841,3902
1842,21348957
1843,56843375
1844,300471
1845,3759
1846,123805
1847,3059
1848,131801470
1849,108144
1850,3827
1851,8980
1852,16678086
1853,5816
1854,454216
1855,44247724
1856,5280723
1857,122662112
1858,7570
1859,9919490
1860,3885
1861,6134
1862,3052775
1863,73671732
1864,46893585
1865,16656889
1866,82148
1867,86345880
1868,25185057
1869,4636
1870,134812039
1871,118878093
1872,1548887
1873,11250029
1874,10068465
1875,6050
1876,135398742
1877,9918734
1878,9843935
1879,80635
1880,16122802
1881,24986635
1882,2249
1883,2088
1884,16656685
1885,53373584
1886,9830969
1887,121410180
1888,4369566
1889,67583702
1890,444005
1891,25262792
1892,980
1893,71360
1894,5362259
1895,2907
1896,104778
1897,71584930
1898,6918405
1899,44230999
1900,216239
1901,71661259
1902,44251605
1903,90241742
1904,146571
1905,16158208
1906,9952916
1907,111332
1908,119574
1909,14789
1910,135659064
1911,66548316
1912,6918474
1913,16666708
1914,51063134
1915,9570376
1916,10472693
1917,9918381
1918,3080655
1919,9838389
1920,187
1921,5742832
1922,54575456
1923,4891
1924,10479502
1925,16681698
1926,71512108
1927,3081361
1928,24864553
1929,105053
1930,23724843
1931,2391
1932,25256813
1933,16684434
1934,134347893
1935,6451
1936,3001028
1937,5282448
1938,88214187
1939,69247748
1940,641528
1941,2771
1942,57827330
1943,53259022
1944,9821849
1945,6917964
1946,11518839
1947,9827599
1948,9840777
1949,77997
1950,52934180
1951,9867361
1952,50981
1953,60815
1954,91754484
1955,71237511
1956,11282283
1957,21071390
1958,70678557
1959,24812758
1960,6918525
1961,657090
1962,3712
1963,91929988
1964,126565
1965,9914949
1966,451668
1967,120656155
1968,26041
1969,60807
1970,10343454
1971,3037233
1972,9947999
1973,60834
1974,67171867
1975,448812
1976,9834479
1977,9808998
1978,11607299
1979,11962616
1980,11376392
1981,139247992
1982,129228
1983,133082063
1984,74990
1985,216210
1986,60934
1987,451417
1988,4915
1989,5329102
1990,123619
1991,387447
1992,9458
1993,11285588
1994,4456
1995,216457
1996,135423438
1997,189821
1998,9864881
1999,66598080
2000,11690019
2001,14410
2002,16850
2003,57662985
2004,4506
2005,17755050
2006,54675783
2007,66753191
2008,92337
2009,2707
2010,572
2011,439693
2012,9939609
2013,53497429
2014,159594
2015,11256587
2016,71329
2017,5991
2018,3672
2019,24788740
2020,977
2021,445154
2022,9926791
2023,124123797
2024,59239165
2025,20273
2026,10173277
2027,667550
2028,5311101
2029,44326612
2030,5311037
2031,12000240
2032,10044
2033,13810
2034,9976892
2035,101524
2036,3792
2037,1176
2038,91865076
2039,134461434
2040,9444
2041,4239
2042,9577221
2043,33741
2044,118413897
2045,9854489
2046,44599828
2047,11582982
2048,172997
2049,49849748
2050,9843750
2051,47528
2052,5282452
2053,11634155
2054,44472635
2055,4674
2056,73665
2057,6918223
2058,2733768
2059,46215462
2060,65833
2061,130021
2062,9651
2063,1324494
2064,25183872
2065,23649345
2066,5755
2067,86278273
2068,11667832
2069,72950888
2070,54949
2071,153976
2072,86705695
2073,135565674
2074,115358
2075,124081848
2076,25195624
2077,3000391
2078,23982
2079,41774
2080,134694278
2081,154257
2082,5793
2083,441130
2084,16130571
2085,441207
2086,11633038
2087,110635
2088,60751
2089,4775
2090,6
2091,126480208
2092,9941095
2093,76965484
2094,39040
2095,16135625
2096,25167777
2097,6918092
2098,150610
2099,11234052
2100,23642301
2101,214347
2102,118984462
2103,118892432
2104,50905713
2105,135401907
2106,6099
2107,11701939
2108,46830962
2109,152262911
2110,16760703
2111,266052
2112,5702214
2113,23663413
2114,5388906
2115,71600094
2116,10631
2117,91810664
2118,134018
2119,11533362
2120,3045381
2121,4927
2122,68748835
2123,439312
2124,151170
2125,12035
2126,11977753
2127,45356963
2128,6918194
2129,4168
2130,168009853
2131,3964
2132,6914513
2133,4197
2134,25151352
2135,66577114
2136,10950142
2137,16231
2138,132232205
2139,5360696
2140,5277135
2141,31378
2142,58031952
2143,3475
2144,6918260
2145,5401
2146,52911611
2147,44517831
2148,71661251
2149,11156438
2150,11601669
2151,135461321
2152,11370864
2153,53476877
2154,27661
2155,667477
2156,135564749
2157,3082475
2158,135398752
2159,5289549
2160,169535
2161,49837968
2162,25975
2163,5282226
2164,3052776
2165,6918562
2166,162453149
2167,16138701
2168,446284
2169,2726
2170,10531
2171,4077523
2172,5565
2173,3776
2174,69286
2175,50914062
2176,5735
2177,4236
2178,9875401
2179,56847547
2180,5732
2181,24964624
2182,11570626
2183,9962735
2184,11481862
2185,216306
2186,155817470
2187,57384863
2188,21800
2189,32051
2190,65015
2191,16041424
2192,9852573
2193,121410806
2194,4916
2195,4064
2196,60961
2197,9889200
2198,59534386
2199,3343
2200,135413535
2201,969516
2202,11546664
2203,4649
2204,76967787
2205,135413511
2206,446987
2207,44356648
2208,15547703
2209,24875259
2210,73415798
2211,10117987
2212,3394
2213,4740
2214,6336690
2215,72694302
2216,15951529
2217,441300
2218,60613
2219,54680690
2220,46174144
2221,9831414
2222,5073
2223,71401
2224,148123
2225,5281520
2226,49784084
2227,3035714
2228,450784
2229,6918502
2230,16132265
2231,3676
2232,34772
2233,11527495
2234,71464713
2235,72098
2236,53716604
2237,5826
2238,71587897
2239,3000502
2240,24393
2241,5311309
2242,60648
2243,9933475
2244,11378094
2245,16070111
2246,16065403
2247,11178236
2248,5328940
2249,24855751
2250,119570
2251,11955716
2252,5318517
2253,76957235
2254,638793
2255,172638436
2256,44631912
2257,60496
2258,5312125
